time,,,,,,,,,
 0 min,0.118177,0,0.0905972,0,0,0.0240323,0.0269367,0.0179675,0.0175641
 10 min,0.126955,0,0.105535,0,0,0.0312093,0.0270548,0.0149937,0.00885801
 20 min,0.132923,0,0.101714,0,0,0.0310603,0.0266418,0.0134026,0.0144963
 30 min,0.0230013,0.00492957,0.0790221,0.00401113,0.0157223,0.145964,0.0296417,0.0487556,0.0734306
 40 min,0.0257402,0.00148757,0.0785892,0.00234266,0.017327,0.148002,0.0255488,0.0499473,0.0841102
 50 min,0.0232731,0,0.0760982,0.00353498,0.0145851,0.16199,0.0303124,0.0464331,0.0731476
 60 min,0.0205583,0,0.0710673,0.00357209,0.0151103,0.158821,0.0260655,0.0550686,0.0665584
 70 min,0.0211695,0,0.0727474,0.0100296,0.014334,0.159585,0.0287814,0.0461837,0.0738188
 80 min,0.0246908,0.00122254,0.0711736,0.0014102,0.0157615,0.14124,0.0308688,0.056348,0.0611454
 90 min,0.0211079,0,0.0557679,0.00243443,0.0173094,0.150006,0.0261413,0.0542347,0.0793176
 100 min,0.0207009,0.0115189,0.0616754,0.00397013,0.0149352,0.151484,0.0320488,0.0461148,0.0750814
 110 min,0.0199377,0.00313175,0.0745283,0.00544013,0.0222821,0.15487,0.028866,0.0507731,0.0773926
 120 min,0.0211139,0,0.0697667,0.00735506,0.0151324,0.146812,0.0321788,0.0482217,0.0808795
 130 min,0.0215998,0.00291686,0.0733355,0.00369989,0.0154207,0.147999,0.028426,0.0488244,0.070986
 140 min,0.0242488,0.00193852,0.0715784,0.00186198,0.0168843,0.130487,0.0296648,0.0574204,0.0766279
 150 min,0.0266785,0.00167395,0.0753098,0.000363617,0.0198101,0.163412,0.0264813,0.0502864,0.0770842
 160 min,0.0196117,0.0102176,0.0666117,0.00252504,0.0191244,0.127428,0.0251837,0.0539081,0.0702443
 170 min,0.0205724,0.0107392,0.0706086,0.00697208,0.0194701,0.151361,0.0288019,0.04907,0.0678151
 180 min,0.0239057,0.00215553,0.0708886,0.0083967,0.0156889,0.176406,0.0316458,0.044982,0.0723746
 190 min,0.0239667,0,0.0876243,0.00740112,0.0217063,0.143397,0.0314538,0.049875,0.0779184
 200 min,0.0223322,0,0.0579252,0.00826975,0.0166058,0.168224,0.0313962,0.0481706,0.0864837
 210 min,0.0242528,0,0.0654901,0.00706785,0.0176296,0.160463,0.0294946,0.0531671,0.0806012
 220 min,0.0210112,0.00135675,0.0802626,0.00862436,0.0178598,0.133651,0.0294536,0.0532033,0.0851563
 230 min,0.0175701,0,0.0685825,0.0072955,0.0192598,0.136957,0.0317142,0.047333,0.0756266
 240 min,0.0220742,0,0.0641649,0.00600458,0.0198878,0.180756,0.0293071,0.0525195,0.0785914
 250 min,0.022606,0.0017952,0.0763942,0.00329945,0.0196975,0.152822,0.029693,0.0496052,0.0677818
 260 min,0.0230026,0,0.0726898,0.00499582,0.0187629,0.124906,0.0349421,0.0603538,0.0873
 270 min,0.0239155,0.00679773,0.084562,0.00699884,0.0188314,0.136214,0.029741,0.0514625,0.0778696
 280 min,0.0265394,0.00960635,0.0662131,0.00586587,0.0175469,0.129923,0.034876,0.0456556,0.0813033
 290 min,0.0248922,0.0128519,0.081572,0.00710303,0.0188629,0.132785,0.0288707,0.0494299,0.0795787
 300 min,0.0193729,0.0107615,0.0643344,0.00610001,0.0183346,0.153872,0.0294958,0.043509,0.0810686
 310 min,0.019597,0.00957489,0.078118,0.00534372,0.0161527,0.158956,0.0229536,0.0501624,0.0902141
 320 min,0.0215345,0.00978082,0.0851496,0.000296173,0.0206492,0.150515,0.0317195,0.0541519,0.0923338
 330 min,0.0220382,0.00619797,0.0621072,0.00162396,0.0140313,0.161925,0.0295487,0.0497472,0.0742138
 340 min,0.0233254,0,0.0797417,0.00216574,0.0151805,0.154447,0.0279232,0.0468191,0.0777081
 350 min,0.0205629,0.00938443,0.0693522,0.00531189,0.0189522,0.16073,0.02841,0.0455419,0.0862019
 360 min,0.0283185,0.00114709,0.0660228,0.0012099,0.0192655,0.165139,0.0293902,0.0460574,0.0697154
 370 min,0.0214576,0.00929929,0.0744109,0.000942718,0.0175442,0.180749,0.0298574,0.0518941,0.0732816
 380 min,0.0249333,0.0101807,0.0758152,0.00163419,0.0153579,0.17943,0.0229052,0.0482487,0.0770193
 390 min,0.025863,0.00249533,0.0748236,0.00321463,0.0175974,0.151801,0.0286531,0.05428,0.0722389
 400 min,0.0259318,0.00635513,0.0760011,0.00336877,0.0142257,0.149699,0.033478,0.0510599,0.082013
 410 min,0.0193413,0.00526633,0.0746864,0.00365692,0.0204926,0.158988,0.0294016,0.0559727,0.0838876
 420 min,0.0195792,0.00151318,0.0702521,0.00689404,0.0219424,0.16744,0.0314476,0.0480482,0.0834752
 430 min,0.0234893,0.00951111,0.0792614,0.0100234,0.0191434,0.143001,0.0277578,0.049453,0.0741442
 440 min,0.0257874,0.00599548,0.061657,0.00310788,0.0164297,0.173505,0.0343206,0.0495671,0.0734791
 450 min,0.104218,0,0.323852,0.0160276,0.000186646,0.0332332,0.0220916,0.0865376,0.0439475
 460 min,0.102553,0,0.376133,0.0135264,0,0.0212226,0.0151926,0.0983506,0.0377386
 470 min,0.107576,0,0.382585,0.0105746,0,0.0172028,0.0183542,0.0855629,0.0347461
